order_id,order_date,sku_id,quantity,customer_region,payment_type
ORD-1048,2024-11-10 04:00:00,TS-WHT-M,1,Delhi NCR,Prepaid
ORD-1049,2024-11-10 04:05:00,HD-GRY-L,2,Mumbai,COD
ORD-1050,2024-11-10 04:10:00,TS-BLK-S,1,Delhi NCR,COD
ORD-1051,2024-11-10 04:15:00,HD-GRY-L,1,Delhi NCR,COD
ORD-1052,2024-11-10 04:20:00,CP-BLK,1,Mumbai,COD
ORD-1053,2024-11-10 04:25:00,CP-BLK,1,Delhi NCR,COD
ORD-1054,2024-11-10 04:30:00,TS-BLK-M,1,Bangalore,Prepaid
ORD-1055,2024-11-10 04:35:00,TS-BLK-S,1,Delhi NCR,COD
ORD-1056,2024-11-10 04:40:00,CP-BLK,2,Delhi NCR,Prepaid
ORD-1057,2024-11-10 04:45:00,TS-BLK-S,1,Mumbai,COD
ORD-1058,2024-11-10 04:50:00,JK-DNM-M,2,Mumbai,COD
ORD-1059,2024-11-10 04:55:00,CP-BLK,1,Delhi NCR,COD
ORD-1060,2024-11-10 05:00:00,TS-BLK-S,1,Bangalore,COD
ORD-1061,2024-11-10 05:05:00,TS-BLK-S,2,Bangalore,Prepaid
ORD-1062,2024-11-10 05:10:00,TS-BLK-L,1,Bangalore,COD
ORD-1063,2024-11-10 05:15:00,TS-BLK-L,1,Bangalore,COD
ORD-1064,2024-11-10 05:20:00,TS-WHT-M,2,Delhi NCR,Prepaid
ORD-1065,2024-11-10 05:25:00,TS-WHT-M,1,Bangalore,COD
ORD-1066,2024-11-10 05:30:00,HD-GRY-L,2,Delhi NCR,Prepaid
ORD-1067,2024-11-10 05:35:00,HD-GRY-L,1,Mumbai,COD
ORD-1068,2024-11-10 05:40:00,HD-BLK-M,2,Mumbai,Prepaid
ORD-1069,2024-11-10 05:45:00,TS-BLK-M,1,Mumbai,Prepaid
ORD-1070,2024-11-10 05:50:00,TS-BLK-M,1,Bangalore,COD
ORD-1071,2024-11-10 05:55:00,HD-BLK-M,1,Mumbai,Prepaid
ORD-1072,2024-11-10 06:00:00,TS-WHT-M,2,Mumbai,COD
ORD-1073,2024-11-10 06:05:00,HD-BLK-M,1,Bangalore,Prepaid
ORD-1074,2024-11-10 06:10:00,HD-BLK-M,1,Delhi NCR,COD
ORD-1075,2024-11-10 06:15:00,TS-BLK-M,1,Mumbai,COD
ORD-1076,2024-11-10 06:20:00,TS-WHT-M,2,Delhi NCR,Prepaid
ORD-1077,2024-11-10 06:25:00,HD-BLK-M,2,Mumbai,Prepaid
ORD-1078,2024-11-10 06:30:00,TS-BLK-S,1,Bangalore,COD
ORD-1079,2024-11-10 06:35:00,HD-BLK-M,1,Delhi NCR,COD
ORD-1080,2024-11-10 06:40:00,TS-BLK-L,2,Delhi NCR,Prepaid
ORD-1081,2024-11-10 06:45:00,JK-DNM-M,1,Delhi NCR,COD
ORD-1082,2024-11-10 06:50:00,TS-BLK-L,1,Mumbai,COD
ORD-1083,2024-11-10 06:55:00,TS-BLK-L,2,Delhi NCR,COD
ORD-1084,2024-11-10 07:00:00,HD-GRY-L,1,Mumbai,COD
ORD-1085,2024-11-10 07:05:00,TS-WHT-M,1,Mumbai,Prepaid
ORD-1086,2024-11-10 07:10:00,JK-DNM-M,1,Delhi NCR,Prepaid
ORD-1087,2024-11-10 07:15:00,TS-BLK-L,2,Delhi NCR,COD
ORD-1088,2024-11-10 07:20:00,HD-GRY-L,2,Bangalore,Prepaid
ORD-1089,2024-11-10 07:25:00,TS-WHT-M,2,Delhi NCR,Prepaid
ORD-1090,2024-11-10 07:30:00,TS-BLK-M,2,Delhi NCR,Prepaid
ORD-1091,2024-11-10 07:35:00,TS-WHT-M,1,Mumbai,COD
ORD-1092,2024-11-10 07:40:00,TS-WHT-M,1,Delhi NCR,Prepaid
ORD-1093,2024-11-10 07:45:00,JK-DNM-M,2,Mumbai,Prepaid
ORD-1094,2024-11-10 07:50:00,HD-BLK-M,2,Bangalore,COD
ORD-1095,2024-11-10 07:55:00,HD-GRY-L,1,Delhi NCR,Prepaid
ORD-1096,2024-11-10 08:00:00,HD-BLK-M,1,Bangalore,Prepaid
ORD-1097,2024-11-10 08:05:00,HD-BLK-M,1,Delhi NCR,COD
ORD-1098,2024-11-10 08:10:00,HD-GRY-L,2,Mumbai,Prepaid
ORD-1099,2024-11-10 08:15:00,TS-BLK-M,2,Bangalore,COD
ORD-1100,2024-11-10 08:20:00,TS-BLK-S,2,Delhi NCR,COD
